Applicant_Gender,Manager_Joining_Designation,Manager_Current_Designation,Manager_Grade,Manager_Status,Manager_Gender,Manager_Num_Application,Manager_Num_Coded,Manager_Business,Manager_Num_Products,Business_Sourced,zipcode_grp_x,zipcode_grp_y,Manager_Joining_Quarter,Application_Receipt_Quarter,Manager_Joining_Year,Application_Receipt_Year,Applicant_Marital_Status_M,Applicant_Marital_Status_S,Applicant_Marital_Status_W,Applicant_Occupation_Others,Applicant_Occupation_Salaried,Applicant_Occupation_Self Employed,Applicant_Occupation_Student,Applicant_Qualification_Associate/Fellow of Acturial Society of India,Applicant_Qualification_Associate/Fellow of Institute of Company Secretories of India,Applicant_Qualification_Associate/Fellow of Insurance Institute of India,Applicant_Qualification_Certified Associateship of Indian Institute of Bankers,Applicant_Qualification_Class X,Applicant_Qualification_Class XII,Applicant_Qualification_Graduate,Applicant_Qualification_Masters of Business Administration,Applicant_Qualification_Others,Applicant_Qualification_Professional Qualification in Marketing
1,2,3,4.0,0,0,0.0,2.0,1359705.0,24.0,1,0,4,4,2,2006,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,2.0,0,1,5.0,3.0,241031.0,20.0,1,0,0,3,2,2006,2007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,2,3.0,0,0,3.0,1.0,262207.0,7.0,0,0,0,4,2,2006,2007,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,2.0,0,0,1.0,0.0,11642.0,1.0,0,9,9,1,2,2007,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,0.0,0.0,177816.0,7.0,0,0,0,1,2,2004,2007,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,3,4.0,0,0,0.0,0.0,409995.0,30.0,1,0,4,4,2,2003,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,0.0,0.0,161931.0,13.0,1,0,9,2,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,1,0,9,3,2,2007,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,0.0,0.0,200561.0,15.0,0,0,0,4,2,2006,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,0.0,0.0,288365.0,15.0,0,0,0,2,2,2003,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,2,2,3.0,0,0,0.0,1.0,367582.0,15.0,1,0,4,1,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,2.0,0,0,0.0,0.0,246602.0,18.0,1,0,0,2,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,2.0,2.0,259059.0,16.0,1,0,0,2,2,2006,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,3.0,1.0,310459.0,23.0,1,0,4,2,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,0.0,0.0,81786.0,7.0,1,0,0,2,2,2006,2007,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,2,4,5.0,0,1,0.0,0.0,411405.0,21.0,1,0,0,3,2,2002,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,0.0,0.0,110926.0,11.0,1,0,0,4,2,2005,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,1,0,9,3,2,2007,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,4,5.0,1,0,0.0,0.0,0.0,0.0,1,0,9,2,2,2007,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,2,3,4.0,0,0,0.0,0.0,286702.0,19.0,1,0,4,1,2,2005,2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,3,4.0,0,0,1.0,1.0,295775.0,19.0,1,0,0,1,2,2005,2007,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,2.0,0,0,2.0,0.0,194597.0,15.0,0,0,0,3,2,2006,2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,3.0,2.0,347412.0,18.0,1,0,0,2,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,3,4.0,0,0,0.0,1.0,853436.0,51.0,0,0,4,4,2,2004,2007,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2,3.0,0,0,1.0,1.0,171830.0,16.0,0,0,0,2,2,2006,2007,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,2,3.0,0,0,0.0,0.0,1158533.0,74.0,1,0,0,4,2,2005,2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,0.0,0.0,290235.0,18.0,0,0,0,2,2,2006,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,2.0,2.0,259713.0,14.0,0,0,0,2,2,2006,2007,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,2,2,3.0,0,0,3.0,2.0,347412.0,18.0,0,0,0,2,2,2006,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,2,3.0,0,0,0.0,1.0,127324.0,9.0,0,0,0,1,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,2.0,1.0,189374.0,12.0,0,0,0,4,2,2006,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,2.0,0.0,147062.0,11.0,0,0,0,4,2,2005,2007,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,2.0,3.0,233726.0,14.0,0,0,4,2,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,2,3.0,0,0,0.0,1.0,74915.0,7.0,0,0,0,2,2,2006,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,0.0,0.0,1158533.0,74.0,0,0,0,4,2,2005,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,2.0,0,0,0.0,0.0,290235.0,18.0,0,0,9,2,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,0,0,0,3,2,2007,2007,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,0,0,0,3,2,2007,2007,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,0.0,0.0,147461.0,12.0,0,0,0,3,2,2006,2007,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,0.0,1.0,215479.0,15.0,0,0,0,2,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,3,4.0,0,0,0.0,0.0,851557.0,39.0,0,0,9,3,2,2002,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,2,5,6.0,0,1,1.0,0.0,1274525.0,21.0,0,0,0,4,2,2001,2007,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,3,4.0,0,0,1.0,1.0,295775.0,19.0,0,0,4,1,2,2005,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,3,4.0,0,0,0.0,0.0,343190.0,17.0,0,0,0,3,2,2003,2007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,1.0,1.0,433819.0,35.0,0,0,0,2,2,2004,2007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,4,6.0,0,0,2.0,0.0,1149571.0,13.0,0,0,0,1,2,2007,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,0.0,1.0,768525.0,36.0,0,0,0,3,2,2002,2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,2.0,0.0,178485.0,6.0,0,0,0,2,2,2005,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,3,4.0,0,0,0.0,0.0,259180.0,9.0,0,0,0,4,2,2002,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,2.0,0,1,0.0,0.0,102178.0,6.0,0,0,0,3,2,2006,2007,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,2.0,1.0,230402.0,17.0,0,0,0,2,2,2006,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,1.0,1.0,168546.0,13.0,0,0,0,2,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,3,4.0,0,0,0.0,1.0,853436.0,51.0,0,0,0,4,2,2004,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,2.0,0,0,4.0,0.0,39485.0,2.0,0,0,0,1,2,2007,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,2.0,0,1,5.0,3.0,241031.0,20.0,0,0,0,3,2,2006,2007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2,3.0,0,0,4.0,1.0,124008.0,10.0,0,0,0,2,2,2006,2007,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,2,2,3.0,0,0,0.0,0.0,81786.0,7.0,0,0,0,2,2,2006,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,0.0,0.0,461788.0,21.0,0,0,0,3,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,2,3.0,0,0,1.0,0.0,458532.0,21.0,0,0,0,4,2,2005,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,2.0,0.0,205084.0,17.0,0,0,0,4,2,2005,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,3,4.0,0,0,0.0,0.0,103161.0,4.0,0,0,0,3,2,2003,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,2,3,4.0,0,0,0.0,1.0,99105.0,5.0,0,0,0,1,2,2006,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,3.0,0.0,172797.0,11.0,1,0,9,4,2,2004,2007,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,3.0,0.0,172797.0,11.0,1,0,9,4,2,2004,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,4,6.0,0,0,5.0,1.0,0.0,0.0,1,0,4,1,2,2007,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,3,4.0,0,0,0.0,0.0,97867.0,8.0,1,0,9,3,2,2003,2007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,1,0,0,3,2,2007,2007,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,1,0,0,3,2,2007,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,4.0,4.0,212886.0,17.0,1,0,0,4,2,2006,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,1,0,9,3,2,2007,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,1.0,1.0,264894.0,20.0,0,0,0,2,2,2006,2007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,1.0,1.0,264894.0,20.0,0,0,0,2,2,2006,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,0.0,0.0,193456.0,14.0,0,0,0,2,2,2006,2007,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,0.0,0.0,41810.0,4.0,0,0,0,2,2,2006,2007,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,3,4.0,0,0,0.0,0.0,450495.0,10.0,0,0,0,3,2,2003,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,0.0,0.0,76825.0,5.0,0,0,0,3,2,2006,2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,0.0,0.0,40162.0,3.0,0,0,0,2,2,2006,2007,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,1.0,0.0,93352.0,7.0,0,0,0,2,2,2006,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,2.0,0,0,0.0,1.0,57320.0,4.0,0,0,0,3,2,2006,2007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,1.0,1.0,171830.0,16.0,0,0,0,2,2,2006,2007,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2,2,3.0,0,0,0.0,0.0,41810.0,4.0,0,0,0,2,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,2,3.0,0,0,0.0,1.0,115986.0,8.0,0,0,0,4,2,2006,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,0,0,0,3,2,2007,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,2.0,2.0,409039.0,4.0,0,0,0,3,2,2006,2007,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,2.0,0,0,0.0,2.0,271508.0,20.0,0,0,9,3,2,2006,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,0.0,0.0,213964.0,13.0,0,0,4,3,2,2003,2007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,0,0,0,3,2,2007,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,2,3,4.0,0,0,0.0,2.0,1359705.0,24.0,0,0,0,4,2,2006,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,2.0,1.0,12180.0,1.0,1,0,4,1,2,2007,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,0.0,0.0,472579.0,35.0,1,0,0,3,2,2003,2007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,2,3.0,0,0,0.0,0.0,312774.0,19.0,1,0,9,4,2,2003,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,4.0,2.0,344142.0,17.0,1,0,9,1,2,2007,2007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,1.0,2.0,472404.0,33.0,1,0,0,3,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3,3,4.0,0,0,10.0,2.0,30407.0,3.0,0,0,0,1,2,2007,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,1.0,2.0,472404.0,33.0,1,0,0,3,2,2006,2007,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,3,3,4.0,0,0,10.0,2.0,30407.0,3.0,0,0,0,1,2,2007,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,2.0,0,0,1.0,0.0,1077964.0,11.0,1,0,0,3,2,2006,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,4,6.0,1,0,0.0,0.0,0.0,0.0,1,0,9,1,2,2007,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,4,5.0,0,0,0.0,1.0,367899.0,21.0,0,0,0,1,2,2004,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,1.0,1.0,190648.0,14.0,1,0,0,3,2,2006,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,3,4.0,0,0,0.0,0.0,392935.0,12.0,0,0,0,3,2,2005,2007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,2,3.0,0,1,4.0,0.0,241429.0,6.0,1,9,9,4,2,2006,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,1,0,9,3,2,2007,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,3,4.0,0,0,0.0,0.0,473417.0,18.0,1,9,4,2,2,2003,2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,0.0,0.0,330198.0,20.0,1,0,9,4,2,2003,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,1.0,0.0,102425.0,7.0,0,0,0,1,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,4,6.0,0,0,0.0,0.0,1964560.0,27.0,1,0,0,4,2,2005,2007,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,0.0,0.0,222130.0,15.0,1,0,0,3,2,2003,2007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,3.0,0,0,0.0,0.0,222130.0,15.0,0,0,0,3,2,2003,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,4,6.0,1,0,0.0,0.0,0.0,0.0,1,0,0,1,2,2007,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,4,5.0,1,0,0.0,0.0,0.0,0.0,1,0,9,2,2,2007,2007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2,3.0,0,1,5.0,2.0,347554.0,16.0,1,0,9,4,2,2006,2007,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,4,5.0,0,0,2.0,3.0,991303.0,20.0,1,0,0,3,2,2005,2007,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,3,4.0,0,0,0.0,1.0,325047.0,28.0,0,0,0,2,2,2004,2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,2.0,0,0,1.0,3.0,213662.0,10.0,1,0,0,2,2,2006,2007,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,0.0,0.0,64636.0,6.0,1,0,0,3,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2,3.0,0,0,9.0,3.0,176447.0,15.0,1,0,0,1,2,2007,2007,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,2,3.0,0,0,9.0,3.0,176447.0,15.0,1,0,9,1,2,2007,2007,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,2,3.0,0,0,0.0,0.0,82621.0,5.0,0,0,0,3,2,2006,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,3,3,4.0,0,0,4.0,3.0,256338.0,10.0,1,0,0,1,2,2007,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,3,4.0,0,0,0.0,1.0,217853.0,13.0,1,0,9,4,2,2005,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,1.0,0.0,414368.0,27.0,1,0,9,2,2,2006,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,0.0,0.0,404714.0,35.0,1,0,0,4,2,2003,2007,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,1,0,9,3,2,2007,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,0,0,0,3,2,2007,2007,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,3,4.0,0,0,0.0,0.0,364224.0,25.0,1,0,0,1,2,2004,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,0,0,0,3,2,2007,2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,4,5.0,0,0,0.0,0.0,842149.0,59.0,0,0,0,2,2,2005,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,2.0,2.0,246630.0,18.0,0,0,0,3,2,2006,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1.0,0,0,0.0,3.0,141863.0,13.0,0,0,0,4,2,2006,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,1.0,0.0,102178.0,5.0,0,0,0,3,2,2007,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,1.0,1.0,190648.0,14.0,0,0,4,3,2,2006,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,2,3.0,0,0,0.0,4.0,162420.0,12.0,0,0,0,4,2,2006,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,0.0,0.0,215143.0,12.0,0,0,0,3,2,2003,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,1.0,4.0,110556.0,8.0,0,0,0,4,2,2006,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,2.0,0,0,1.0,0.0,80997.0,6.0,0,0,0,2,2,2006,2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,2.0,0,0,1.0,2.0,92023.0,4.0,0,0,0,4,2,2006,2007,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,4,5.0,0,0,0.0,1.0,367899.0,21.0,0,0,0,1,2,2004,2007,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,2,3.0,0,0,0.0,1.0,238751.0,19.0,0,0,0,4,2,2004,2007,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,5,6.0,0,0,0.0,1.0,1846047.0,25.0,0,0,4,3,2,2003,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2,3.0,0,0,1.0,0.0,414368.0,27.0,0,0,9,2,2,2006,2007,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,2,3.0,0,0,1.0,0.0,414368.0,27.0,0,0,0,2,2,2006,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,3.0,0,0,6.0,2.0,154437.0,12.0,0,0,0,4,2,2006,2007,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
